instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
tsp_n90_3,90,3,nn,11,45,6,10,922.741,741.45,1951069,1008,43355,0.00534415,10
tsp_n90_3,90,4,nn,11,45,6,10,944.101,741.45,1992914,4387,44281,0.0211775,10
tsp_n90_3,90,5,nn,11,45,6,10,998.681,741.45,1942072,67006,43152,0.326272,10
tsp_n90_4,90,1,nn,11,45,6,10,992.603,756.889,1980898,2199,44014,0.0109255,10
tsp_n90_4,90,2,nn,11,45,6,10,897.276,756.889,1950588,24397,43341,0.12231,10
tsp_n90_4,90,3,nn,11,45,6,10,918.586,756.889,1974124,2177,43863,0.010569,10
tsp_n90_4,90,4,nn,11,45,6,10,899.085,756.889,1937331,2077,43045,0.0103025,10
tsp_n90_4,90,5,nn,11,45,6,10,947.683,756.889,1954753,988,43433,0.00543211,10
tsp_n90_5,90,1,nn,11,45,6,10,904.765,736.995,2001478,5111,44472,0.0247956,10
tsp_n90_5,90,2,nn,11,45,6,10,908.921,736.995,1870070,7322,41552,0.0374757,10
tsp_n90_5,90,3,nn,11,45,6,10,908.971,736.995,1931792,10447,42922,0.0563295,10
tsp_n90_5,90,4,nn,11,45,6,10,887.721,736.995,1964282,15232,43646,0.0790351,10
tsp_n90_5,90,5,nn,11,45,6,10,891.662,736.995,1915008,62088,42549,0.319574,10
tsp_n100_1,100,1,nn,12,50,6,10,1038.48,787.529,1584821,554524,31687,3.5086,10
tsp_n100_1,100,2,nn,12,50,6,10,1027.51,787.529,1618581,8718,32365,0.0508166,10
tsp_n100_1,100,3,nn,12,50,6,10,1030.7,787.529,1579432,1492536,31581,9.45523,10
tsp_n100_1,100,4,nn,12,50,6,10,1066.18,787.706,1581532,119940,31620,0.753577,10
tsp_n100_1,100,5,nn,12,50,6,10,1048.88,787.529,1603409,809361,32059,5.14605,10
tsp_n100_2,100,1,nn,12,50,6,10,1072.87,791.553,1580962,3417,31613,0.0200179,10
tsp_n100_2,100,2,nn,12,50,6,10,1040.41,793.769,1594311,3009,31882,0.0177931,10
tsp_n100_2,100,3,nn,12,50,6,10,989.845,791.553,1586952,712502,31734,4.47521,10
tsp_n100_2,100,4,nn,12,50,6,10,976.302,791.553,1575132,20959,31495,0.130866,10
tsp_n100_2,100,5,nn,12,50,6,10,990.592,793.769,1628644,5572,32569,0.0332243,10
tsp_n100_3,100,1,nn,12,50,6,10,820.99,770.264,1572595,6782,31449,0.0425235,10
tsp_n100_3,100,2,nn,12,50,6,10,854.622,770.264,1592324,15,31846,0.00014389,10
tsp_n100_3,100,3,nn,12,50,6,10,929.34,770.264,1646653,1614,32928,0.00974133,10
tsp_n100_3,100,4,nn,12,50,6,10,904.141,770.264,1574764,4549,31493,0.0271933,10
tsp_n100_3,100,5,nn,12,50,6,10,813.945,770.264,1570597,4975,31410,0.0312514,10
tsp_n100_4,100,1,nn,12,50,6,10,890.202,756.706,1572992,4782,31455,0.0280564,10
tsp_n100_4,100,2,nn,12,50,6,10,901.408,756.706,1603821,2476,32070,0.0149473,10
tsp_n100_4,100,3,nn,12,50,6,10,910.043,756.706,1587143,10013,31736,0.0606996,10
tsp_n100_4,100,4,nn,12,50,6,10,880.917,756.706,1658901,18134,33174,0.114499,10
tsp_n100_4,100,5,nn,12,50,6,10,898.551,756.706,1562488,552,31247,0.00331403,10
tsp_n100_5,100,1,nn,12,50,6,10,942.571,753.309,1578961,21653,31572,0.135423,10
tsp_n100_5,100,2,nn,12,50,6,10,906.72,753.309,1581371,8894,31622,0.0551672,10
tsp_n100_5,100,3,nn,12,50,6,10,963.419,753.309,1595467,8946,31900,0.0565461,10
tsp_n100_5,100,4,nn,12,50,6,10,940.56,753.309,1602941,21112,32054,0.13286,10
tsp_n100_5,100,5,nn,12,50,6,10,917.24,753.309,1584134,69242,31676,0.4344,10
